date,close_copper,high_copper,low_copper,open_copper,volume_copper,daily_variation,daily_range,daily_return,sma_50,sma_200,volatility_5,volatility_10,rsi_14,macd,macd_signal,macd_hist,high_open_ratio,low_open_ratio,close_open_ratio,golden_cross,death_cross
2002-04-09,0.7250000238418579,0.7250000238418579,0.7210000157356262,0.7210000157356262,141.0,0.0040000081062316,0.0040000081062316,0.006245706480088,0.7321099960803985,0.6871475002169609,0.0081040101697515,0.0163873202900227,30.47620723577961,-0.000686551518514,0.0040453854875283,-0.0047319370060423,1.0055478613300035,1.0,1.0055478613300035,1.0,0.0
2002-04-10,0.722000002861023,0.722000002861023,0.7179999947547913,0.7200000286102295,181.0,0.0019999742507934,0.0040000081062316,-0.0041379598374873,0.7325899958610534,0.6871700003743172,0.0041321840208949,0.0174347142536415,30.91787690000588,-0.0018463919941951,0.0028670299911836,-0.0047134219853787,1.002777741904613,0.9972221753111612,1.002777741904613,1.0,0.0
2002-04-11,0.7210000157356262,0.7214999794960022,0.7200000286102295,0.7214999794960022,64.0,-0.0004999637603759,0.0014999508857727,-0.0013850237138977,0.7330899965763092,0.6871600005030633,0.0018165979953204,0.0179602102912652,31.527106613650812,-0.002813828468117,0.0017308582993234,-0.0045446867674405,1.0,0.9979210659343049,0.9993070495154758,1.0,0.0
2002-04-12,0.7149999737739563,0.7160000205039978,0.7149999737739563,0.7160000205039978,138.0,-0.0010000467300415,0.0010000467300415,-0.0083218333297097,0.7335099959373474,0.6871700003743172,0.0036331984514419,0.0168641551861411,34.04254374757063,-0.0040183609221993,0.0005810144550189,-0.0045993753772182,1.0,0.9986032867298836,0.9986032867298836,1.0,0.0
2002-04-15,0.7139999866485596,0.7139999866485596,0.7099999785423279,0.7099999785423279,133.0,0.0040000081062316,0.0040000081062316,-0.0013985834434629,0.7331799960136414,0.687142500281334,0.0047223063021837,0.0141165748833504,38.32334688178583,-0.0049960606962589,-0.0005344005752366,-0.0044616601210222,1.0056338144043946,1.0,1.0056338144043946,1.0,0.0
2002-04-16,0.7239999771118164,0.7245000004768372,0.7229999899864197,0.7229999899864197,223.0,0.0009999871253967,0.0015000104904174,0.0140055891460106,0.7329899954795838,0.6871975001692772,0.0044384741775311,0.0075247790263863,39.76605700295305,-0.0049074095911597,-0.0014090023784212,-0.0034984072127385,1.002074703334983,1.0,1.001383108076413,1.0,0.0
2002-04-17,0.734499990940094,0.734499990940094,0.7310000061988831,0.7310000061988831,112.0,0.0034999847412109,0.0034999847412109,0.014502781989254,0.7331599950790405,0.687307500243187,0.00827345450512,0.00626387465403,42.45808195604441,-0.003944420760793,-0.0019160860548956,-0.0020283347058974,1.0047879407818483,1.0,1.0047879407818483,1.0,0.0
2002-04-18,0.7254999876022339,0.7350000143051147,0.7254999876022339,0.7310000061988831,173.0,-0.0055000185966491,0.0095000267028808,-0.0122532381877104,0.7330699944496155,0.6873550000786781,0.0084217022724202,0.0057554350703518,29.651153522806737,-0.0038629406527191,-0.0023054569744603,-0.0015574836782588,1.005471967267184,0.9924760348153092,0.9924760348153092,1.0,0.0
2002-04-19,0.7315000295639038,0.7315000295639038,0.7300000190734863,0.7300000190734863,139.0,0.0015000104904174,0.0015000104904174,0.0082702164909747,0.733169995546341,0.6873975002765655,0.007916763700285,0.0064213266452845,33.87982805219407,-0.0032764450195057,-0.0024996545834694,-0.0007767904360363,1.0020548088372947,1.0,1.0020548088372947,1.0,0.0
2002-04-22,0.7419999837875366,0.7459999918937683,0.7415000200271606,0.7455000281333923,101.0,-0.0035000443458557,0.0044999718666076,0.0143540038267566,0.7333099949359894,0.6875675001740456,0.0072715214583417,0.0086070087388254,40.68628281686717,-0.001941998303057,-0.0023881233273869,0.0004461250243298,1.0006706421750615,0.9946344628366453,0.9953051050117072,1.0,0.0
2002-04-23,0.7300000190734863,0.7350000143051147,0.7300000190734863,0.7350000143051147,326.0,-0.0049999952316284,0.0049999952316284,-0.0161724595367193,0.733279994726181,0.6876950001716614,0.0061298383015354,0.0087224208082126,44.62366418378216,-0.0018316227240194,-0.0022768232067134,0.0004452004826939,1.0,0.9931972855315444,0.9931972855315444,1.0,0.0
